id,titulo,version
26,Bonitas Domini,Solesmes
34,Justus ut palma,Solesmes
28,Unde huic sapientia haec,Solesmes
1,Laudem Domini,Solesmes
29,Justi... Parasti,Solesmes
37,Ite XII,Solesmes
4,Juravi et statui,Solesmes
7,Elegi,Solesmes
10,Quid bonum,Solesmes
27,Flores apparuerunt,Solesmes
14,Amavit eum Dominus (All.),Solesmes
32,Haec est vera,Solesmes
36,Te Deum (sec. mor. Rom.),Solesmes
30,Exsurge Domine adjuva,Solesmes
33,Exsultabunt sancti (Off.),Solesmes
35,Persequar,Solesmes
31,Ite VII,Solesmes
2,Deus misereatur,Solesmes
11,Sapientiam sanctorum (Intr.),Solesmes
17,Ascendit Deus,Solesmes
8,Omnes gentes (Comm.),Solesmes
40,Qui me invenerit,Solesmes
25,Quasi modo,Solesmes
16,Solve jubente Deo,Solesmes
9,Condemnat,Solesmes
38,Domine Deus virtutum,Solesmes
41,In sermonibus,Solesmes
13,Omnis terra,Solesmes
19,Omnis gloria,Solesmes
22,Eripe me Domine ab homine,Solesmes
39,Dum venerit Paraclitus,Solesmes
15,Qui fecerit,Solesmes
5,Vidi civitatem,Solesmes
42,Cantate Domino,Solesmes
3,Beati qui custodiunt,Solesmes
6,Quam magna,Solesmes
47,Dextera Domini,Solesmes
50,Suscepimus Deus (Grad.),Solesmes
20,In excelso throno,Solesmes
45,Audivit Dominus,Solesmes
24,Ecce elongavi,Solesmes
46,Responsum... et cum (Ant.),Solesmes
44,Dirigatur oratio mea,Solesmes
21,Spera,Solesmes
23,Signum magnum,Solesmes
49,Tenuisti manum,Solesmes
43,Domus mea,Solesmes
48,Sacerdotes tui,Solesmes
18,Gaude Maria,Solesmes
12,Consummatus,Solesmes
52,Ego autem in... gaudebo,Solesmes
60,Exspecta Dominum,Solesmes
57,Dominus in Sina,Solesmes
53,Verbum supernum prodiens nec,Solesmes 1961
58,Vultum tuum (Grad.),Solesmes
51,Angelus Domini apparuit,Solesmes
59,Veni de Libano,Solesmes
54,Desiderium cordis,Solesmes
63,Cor meum,Solesmes
56,Ego sum,Solesmes
55,Probasti nos,Solesmes
64,Benedic anima (Ps.103 - Textus antiquus),Solesmes
62,Cibavit sine Alleluia,Solesmes
67,Recordare mei,Solesmes
65,Lingua pravorum,Solesmes
61,Gaudeamus... Mariae... Reginae,Solesmes
69,Angelus Domini apparuit (Intr.),Solesmes
66,Praevenisti eam,Solesmes
76,Induit eum,Solesmes
68,Veni Sancte Spiritus et emitte,Solesmes
70,Quam magna,Solesmes
72,Puer natus est,Solesmes 1961
73,Memor fui,Solesmes
74,Gaudeamus... Thomae,Solesmes
78,Judica me,Solesmes
71,Gloria III,Solesmes
84,Foderunt,Solesmes
80,Visitasti terram,Solesmes
75,Deriventur,Solesmes
83,Confirma hoc sine Alleluia,Solesmes
79,Rorate... Ps. Caeli enarrant,Solesmes 1961
81,Dominus virtutum,Solesmes
87,Laudate pueri,Solesmes
82,Salve Mater,Solesmes
77,Omnes gentes plaudite (All),Solesmes
85,Laudate Dominum (Ps.150 - Textus antiquus),Solesmes
91,Pacem meam,Solesmes
89,Qui vult venire,Solesmes
92,Magnificentiam,Solesmes
90,Caro mea vere,Solesmes
95,Ego sum pastor (cum Alleluia),Solesmes
86,Prope es tu,Solesmes
100,De necessitatibus,Solesmes
93,Tulerunt Jesum,Solesmes
97,Vos qui secuti... dicit (Com.),Solesmes
94,Pauperes Sion,Solesmes
88,Exsultavit ut gigas,Solesmes
98,Justorum anime (Grad.),Solesmes
99,Emitte Spiritum,Solesmes
96,Repleti fructu,Solesmes
108,Justus ut palma (Intr.),Solesmes
102,Mihi autem adhaerere,Solesmes
104,Florete... et date,Solesmes
110,Apud Dominum gressus,Solesmes
105,Confessio,Solesmes
106,Sancti tui... benedicent,Solesmes
111,Joseph autem,Solesmes
101,Loquebantur (All.),Solesmes
109,Domine vivifica,Solesmes
103,Verba mea,Solesmes
112,Manete in me,Solesmes
117,In splendoribus,Solesmes
120,Sancte Paule,Solesmes
107,Non vos relinquam,Solesmes
113,Benedixisti Domine,Solesmes
126,Magnificabitur Christus in corpore,Solesmes
115,Loquebar... Ps. Laudate,Solesmes
122,Vita nostra,Solesmes
114,Adoramus te Christe (Tract),Solesmes
136,Vox in Rama (Com.),Solesmes
127,Post partum (All),Solesmes
121,Surrexit Dominus et apparuit (Com.),Solesmes
134,Salvum me fac,Solesmes
116,Beatus homo,Solesmes
118,Deus vitam meam,Solesmes
130,Nimis honorati sunt (All.),Solesmes
123,Redemisti nos Domine (Intr),Solesmes
124,Vultum tuum,Solesmes
119,O quam bonus,Solesmes
139,Joseph fili David,Solesmes
125,Gloria et divitiae,Solesmes
137,Kyrie XIII,Solesmes
135,Misericordia Domini,Solesmes
128,Dignus est Agnus,Solesmes
132,Ad te levavi,Solesmes 1961
133,Tu puer,Solesmes
138,Miserere mihi... conculcavit,Solesmes
144,Ecce sic benedicetur,Solesmes
142,Asperges me (ad lib.) II,Solesmes
147,Unus panis,Solesmes
145,Veste sancta,Solesmes
141,Lavabo,Solesmes
131,Domine Deus meus,Solesmes
129,Ingressus Aaron,Solesmes
149,Stabant,Solesmes
140,Dominus Jesus,Solesmes
150,Hodie scietis,Solesmes
148,Nimis honorati sunt (Grad.),Solesmes
143,Benedicam Dominum,Solesmes
146,Domine in tua misericordia,Solesmes
154,Si quis sitit,Solesmes
151,Erit vobis,Solesmes
155,Testis mihi,Solesmes
152,Exsurge... fer opem,Solesmes
156,Confitebuntur caeli,Solesmes
153,Beatus vir qui timet (Grad.),Solesmes
162,Circumduxit eam,Solesmes
177,Diffusa est (Off.),Solesmes
170,Omnibus omnia,Solesmes
167,Crastina die,Solesmes
178,Mihi autem absit. Ps. Memento,Solesmes
160,Beata viscera,Solesmes
159,Dextera Dei,Solesmes
157,Popule meus quid,
158,Salvabo populum,Solesmes
184,Posuerunt mortalia (Com.),Solesmes
175,Contristatus sum,Solesmes
181,Veni Sancte Spiritus,Solesmes
166,Lignum habet,Solesmes
168,Kyrie XVII C,Solesmes
165,Memento nostri,Solesmes 1974
208,Adducentur,Solesmes
210,Ave Maria (Offertorium),Solesmes
174,Specie tua (Grad.),Solesmes
171,Tollite portas,Solesmes
209,Justorum animae (Com.),Solesmes
173,Cum angelis,Solesmes
172,Da pacem,Solesmes
211,Ascendit Deus,Solesmes
182,Exspectans,Solesmes
185,Oratio mea,Solesmes
180,Rogate quae ad pacem,Solesmes
213,Fac nos innocuam,Solesmes
188,Benedicta,Solesmes
186,Contra spem,Solesmes
198,Declinabo,Solesmes
207,Pretiosa,Solesmes
206,Vindica Domine,Solesmes
221,Inebriabuntur,Solesmes
220,Confiteantur,Solesmes
219,Gustate... Beatus,Solesmes
161,Rorate... Ps. Benedixisti,Solesmes
164,Ecce sto,Solesmes
223,Factus est,Solesmes
163,Ego autem sicut,Solesmes
222,Adjutor in opportunitatibus,Solesmes
169,Veni et ostende,Solesmes
183,Ego Dominus inebriabo,Solesmes
229,Unam petii... Ut... protegar,Solesmes
230,Dicit Dominus,Solesmes
231,Qui ad justitiam,Solesmes
233,In medio Ecclesiae,Solesmes
214,Spiritus Domini super me,Solesmes
212,In omnem terram (Com.),Solesmes
176,Desiderium,Solesmes
179,O quam pulchra,Solesmes
215,Surrexit Christus qui,Solesmes
189,Propitius esto (All.),Solesmes
191,Mittat vobis,Solesmes
236,In nomine Domini,Solesmes
187,Non duplices,Solesmes
216,Gaudete justi,Solesmes
217,Benedictus qui venit,Solesmes
239,In te Domine,Solesmes
224,Veni Domine et noli,Solesmes
226,Judica Domine,Solesmes
225,Pauper,Solesmes
248,Multae tribulationes,Solesmes
249,Manum suam,Solesmes
252,Leva in circuitu,Solesmes
251,Laetabitur justus (Intr.),Solesmes
250,Fortitudo mea,Solesmes
253,Jubilate Deo... introite,Solesmes
232,Flores... tempus,Solesmes
254,A summo caelo,Solesmes
255,Ultimo festivitatis,Solesmes
260,Unam petii... Beati,Solesmes
261,Intret in conspectu,Solesmes
200,Domine Deus... qui repertus,Solesmes
193,Quam pulchri,Solesmes
194,De excelso,Solesmes
190,Spiritus ubi,Solesmes
196,Erubescant et revereantur,Solesmes
218,Dicite : Pusillanimes,Solesmes
197,Virgines laudent,Solesmes
195,Protege Domine,Solesmes
259,Gloria laus,Solesmes
205,Omnes de Saba,Solesmes
202,Hodie scietis,Solesmes
192,Ego autem cantabo,Solesmes
204,Valde mirabilis,Solesmes
199,Ave Rex noster,Solesmes
203,In sole posuit,Solesmes
263,Psallite Domino,Solesmes
262,Custodi innocentiam,Solesmes
237,Concaluit cor,Solesmes
227,Sacerdotes Dei (Intr.),Solesmes
201,Imitatores,Solesmes
238,Intret oratio,Solesmes
228,Tu es Petrus (Alleluia),Solesmes
265,Perfice gressus,Solesmes
264,Agnus Dei IV,Solesmes
244,Invocavit,Solesmes
246,Gaudeamus... Mariae... solemnitate,Solesmes
258,Dilectio Dei,Solesmes
257,Praedicabant Apostoli,Solesmes
267,Miserere mihi... tribulor,Solesmes
234,Ave gratia plena,Solesmes
269,Cognoscetur,Solesmes
241,Lux aeterna,Solesmes
245,Eripe me de inimicis... Deus,Solesmes
243,Si consurrexistis,Solesmes
235,Ecce sacerdos,Solesmes
268,Justus Dominus,Solesmes
242,Adorabo,Solesmes
256,Veni sponsa Christi,Solesmes
240,Effuderunt,Solesmes
275,Post dies octo,Solesmes
274,Gloriosus Deus,Solesmes
279,Mandatum novum,Solesmes
247,Occurrunt turbae,Solesmes
266,Ave Maria (Tractus),Solesmes
278,Dominus regit me,Solesmes
272,Kyrie XVII,Solesmes
280,Felix namque es,Solesmes
283,Casta generatio,Solesmes
281,Virga Jesse,Solesmes
276,De necessitatibus (Tractus),Solesmes
286,Beatam me dicent,Solesmes
271,Loquetur Dominus,Solesmes
273,Lauda Jerusalem (Ps.147 - Textus antiquus),Solesmes
270,Habet in vestimento,Solesmes
287,Dominus salvavit,Solesmes
277,Exaltabo te,Solesmes
284,Prope est Dominus,Solesmes
285,Non enim judicavi,Solesmes
291,Dominus Jesus,Solesmes
282,Tollite hostias,Solesmes
288,Domini est terra (Ps.23 - Textus antiquus),Solesmes
289,Verumtamen,Solesmes
293,Intende voci,Solesmes
294,Scapulis suis,Solesmes
292,Laetatus sum,Solesmes
295,Benedictio Dei,Solesmes
298,Sanctus XVIII,Solesmes
300,Sanctus I,Solesmes
290,Confortamini,Solesmes
299,Dum clamarem,Solesmes
296,Salvum fac populum,Solesmes
297,Evangelizare,Solesmes
301,Quinque prudentes (All.),Solesmes
304,Quia factus es,Solesmes
302,Stetit Angelus (Off),Solesmes
306,Deus qui praecinxit me,Solesmes
305,Qui seminant,Solesmes
303,Gloria XI,Solesmes
307,Constitues eos principes (Grad.),Solesmes
313,Immutemur habitu,Solesmes
314,Videbitis,Solesmes
317,Semel juravi,Solesmes
312,Justi decantaverunt,Solesmes
315,Domine diligo,Solesmes
309,Kyrie II,Solesmes
308,Lauda Sion,Solesmes
311,Uxor tua,Solesmes
318,Confitebor tibi... in toto,Solesmes
310,Dedisti mihi,Solesmes
319,Holocaustum,Solesmes
326,Illuxerunt,Solesmes
320,Calix benedictionis,Solesmes
327,Invocabit me,Solesmes
329,Exaudi orationem,Solesmes
328,Salvum me fac,Solesmes
323,Ne derelinquas me,Solesmes
324,Dies sanctificatus,Solesmes
332,Propitius esto (Grad.),Solesmes
325,Precatus est,Solesmes
333,Spiritus qui,Solesmes
341,Vigilate,Solesmes
334,Sapientia hujus,Solesmes
331,De profundis,Solesmes
336,Exsultet gaudio,Solesmes
338,Absolve,Solesmes
340,Protexisti me,Solesmes
342,Deus judicium (Ps.71 - Textus antiquus),Solesmes
321,Gloria VI,Solesmes
361,Confirma hoc cum Alleluia,Solesmes
357,Nova bella,Solesmes
316,In virtute tua,Solesmes
322,Laudate Dominum,Solesmes
339,Inclina aurem tuam,Solesmes
379,Salus populi,Solesmes
383,Domine quinque talenta,Solesmes
384,Cum invocarem te,Solesmes
330,Initium sapientiae,Solesmes
380,Adjuva nos,Solesmes
346,Per signum crucis,Solesmes
345,Beati mundo corde,Solesmes
344,Credo I,Solesmes
347,Gaudeamus... Rosae Virginis,Solesmes
350,Ex ore infantium,Solesmes
348,Laudate Dominum,Solesmes
349,Benedicta sit sancta,Solesmes
335,Miserere mihi... ad te,Solesmes
343,Filii hominum,Solesmes
356,Populus Sion,Solesmes
337,Gloria V,Solesmes
390,Postula a me,Solesmes
368,Frumentum,Solesmes
369,Justi epulentur (Off.),Solesmes
378,Alleluia,Solesmes
377,Angelus Domini descendit,Solesmes
396,Exaudi Domine... adjutor,Solesmes
395,Liberasti nos,Solesmes
401,Majorem caritatem,Solesmes
351,In omnem terram (Grad.),Solesmes
386,Sanctus XV,Solesmes
353,Ite IV,Solesmes
352,Gressus meos,Solesmes
354,Nunc cum eo,Solesmes
371,Timete Dominum,Solesmes
405,Regnavit Dominus,Solesmes
366,Accedite ad Dominum,Solesmes
365,Magna est gloria (Com.),Solesmes
387,Agnus Dei VI,Solesmes
407,Gloria et honore (Off.),Solesmes
389,Salus populi,Solesmes
388,Panem de caelo,Solesmes
410,Loquebar... Ps. Bonum est,Solesmes
362,Magnificat,Solesmes
355,Dominus regit me (Ps.22 - Textus antiquus),Solesmes
358,Ecce dedi,Solesmes
363,Custodivit,Solesmes
359,Nos autem... alleluia,Solesmes
370,Qui timetis,Solesmes
360,Prudentes Virgines,Solesmes
372,Deus Deus meus,Solesmes
385,Adjutor et protector,Solesmes
392,Benedicta et venerabilis,Solesmes
374,Nos autem,Solesmes
413,Corona aurea,Solesmes
382,Tamquam filiis,Solesmes
381,Confiteantur tibi,Solesmes
420,Solemnitas,Solesmes
419,Obaudite me,Solesmes
427,Post partum (Off),Solesmes
421,Notus in Judaea,Solesmes
404,Tollite hostias,Solesmes
406,Specie tua (All.),Solesmes
429,Senex puerum portabat (All.),Solesmes
367,Revelabitur,Solesmes
373,Intellige clamorem,Solesmes
391,Benedicimus Deum,Solesmes
364,Petite cum Alleluia,Solesmes
394,Dilexisti,Solesmes
376,Libera me Domine de morte,Solesmes
411,Eripe me de inimicis... Domine,Solesmes
375,Diligite Dominum,Solesmes
408,Benedictus es... et non tradas,Solesmes
428,Crucem tuam,Solesmes
409,Dicit Dominus : Sermones,Solesmes
430,Quis sicut Dominus,Solesmes
398,Quemadmodum,Solesmes
412,Meum est consilium,Solesmes
439,Ecce Dominus veniet,Solesmes
438,Surrexit Dominus de sepulcro (All.),Solesmes
437,Ego autem cum,Solesmes
397,Adversum me,Solesmes
400,Reposita est,Solesmes
414,Da nobis Deus,Solesmes
403,Ecce advenit,Solesmes 1961
402,Sacrificent Domino,Solesmes
415,Sacerdotes ejus (Grad.),Solesmes
399,Ego dixi Domine,Solesmes
393,Kyrie XV,Solesmes
443,Dominus mihi,Solesmes
435,Omnes gentes (Ps.46 - Textus antiquus),Solesmes
423,Jacta cogitatum,Solesmes
416,Haec dies... Dextera,Solesmes
434,Initio cognovi,Solesmes
417,Gaudeamus... Josaphat,Solesmes
424,Fuit homo,Solesmes
425,Domine non secundum,Solesmes
433,Redime me,Solesmes
418,Dum sanctificatus,Solesmes
436,Gaudeo,Solesmes
426,Insurrexerunt,Solesmes
422,Petite sine Alleluia,Solesmes
445,Filii tui,Solesmes
446,Oportebat pati Christum,Solesmes
449,Benedictio perituri,Solesmes
431,Sanctus VI,Solesmes
450,Venite adoremus,Solesmes
448,Dextera Domini... alleluia,Solesmes
451,Exaudivit sine Alleluia,Solesmes
453,Auditui meo,Solesmes
432,Anima... sicut passer,Solesmes
452,Extuli electum,Solesmes
444,Beatus vir qui timet...delectatur (Tract.),Solesmes
447,Deus Deus meus (Ps. 21 - Textus antiquus),Solesmes
455,Confitemini Domino quia (Tractus),Solesmes
456,Statuit,Solesmes
454,Qui me dignatus est (Com.),Solesmes
460,Beatam me dicent,Solesmes
441,Kyrie XIV,Solesmes
442,Te gloriosus (All),Solesmes
462,Elegerunt Apostoli,Solesmes
459,Ego dilecto,Solesmes
458,Deus in nomine tuo,Solesmes
440,Vos estis,Solesmes
466,Magnus sanctus Paulus,Solesmes
463,Pange lingua... Praelium,Solesmes
470,Ego vos elegi,Solesmes
461,Domine exaudi... et clamor,Solesmes
464,Ego clamavi,Solesmes
457,Litaniae (in Vigil. pasch.),
467,Paras mihi mensam,Solesmes
469,Exclamaverunt,Solesmes
468,Quae est ista quae progreditur,Solesmes
465,Cantemus Domino,Solesmes
471,Egredietur virga,Solesmes
475,Mihi autem nimis (Intr.),Solesmes
473,Oculus Dei,Solesmes
472,Quis sicut Dominus,Solesmes
474,Kyrie V,Solesmes
477,Tu es sacerdos,Solesmes
476,Pro omnibus,Solesmes
481,Felix es sacra,Solesmes
480,Benedic anima mea,Solesmes
478,Nunc scio vere,Solesmes
479,Tu mandasti,Solesmes
482,Ecce concipiet,Solesmes
487,Posuisti Domine (Off.),Solesmes
484,Erubescant et conturbentur,Solesmes
489,Nunc ergo,Solesmes
483,Ipse invocabit me,Solesmes
495,Posui vos,Solesmes
492,Exsulta et lauda,Solesmes
486,Improperium... et dederunt,Solesmes
493,Erit quasi signum,Solesmes
491,Ego pascam,Solesmes
498,Liberabit pauperem,Solesmes
494,In me gratia,Solesmes
499,Mihi autem nimis (Off.),Solesmes
485,Tu gloria Jerusalem (Tract),Solesmes
488,Vivo jam non ego,Solesmes
501,Deus in adjutorium,Solesmes
502,Gratificavit nos,Solesmes
497,Asperges me,Solesmes
503,Potens in terra,Solesmes
505,Benedicat vobis,Solesmes
490,Ecce sic benedicetur,Solesmes
504,Si ego Dominus,Solesmes
500,Haec est virgo,Solesmes
509,Tu es Petrus... alleluia,Solesmes
496,Comedite pinguia,Solesmes
508,Oves meae,Solesmes
511,Os justi (Grad.),Solesmes
506,Excita Domine,Solesmes
520,Diligis justitiam,Solesmes
521,Beati pauperes,Solesmes
519,Repleta est,Solesmes
523,Humiliavit,Solesmes
527,Quae est ista quae progreditur,Solesmes
528,Laetamini cum Jerusalem (All.),Solesmes
530,Caritas Dei sine Alleluia,Solesmes
533,Misereris omnium,Solesmes
534,Jacob autem (Com.),Solesmes
537,Gloria laus,Vatican
541,Kyrie eleison (in Miss. def.),Solesmes
542,Domine Deus salutis,Solesmes
546,Pontifex sacerdos,Solesmes
552,Venite post me,Solesmes
554,Introibo,Solesmes
