Numeracao,Nome_da_Musica
1,Accedite ad Dominum
2,Ad Cenam Agni (Tempo Pascal)
3,Adoremus in æternum
4,Adoremus in æternum
5,Adoro te devote
6,Adoro te devote (Ambrosiano)
7,Æterne Rex altissime
8,Anima Christi
9,Anima Christi (Ambrosiano)
10,Anima Christi (Ambrosiano)
11,Anima Christi... Miserere (Ambrosiano)
12,Ave verum
13,Ave verum (Ambrosiano)
14,"Christe, vivens Hostia"
15,Christum Regem
16,Cor Dulce Jesu (Coração Eucarístico de Jesus)
17,Ecce Panis Angelorum
18,Ego sum panis
19,Ego sum panis (Ambrosiano)
20,Homo quidam
21,Homo quidam (Ambrosiano)
22,"Jesu, autor clementiæ (Ss. Coração de Jesus)"
23,"Jesu, decus angelicum (Ss. Nome de Jesus)"
24,"Jesu, dulcis amor (Tempo da Paixão)"
25,"Jesu, dulcis memoria (Ss. Nome de Jesus)"
26,"Jesu, nostra refectio"
27,"Jesu, Rex admirabilis (Ss. Nome de Jesus)"
28,Lætamini unanimi
29,O Mysterium ineffabile
30,O Panis dulcissime
31,O quam amabilis
32,O quam suavis
33,O quam suavis (Ambrosiano)
34,O sacrum convivium
35,O sacrum convivium (Ambrosiano)
36,Pange Lingua
37,Pange Lingua (Ambrosiano)
38,Pange Lingua (Ambrosiano – melodia antiquior)
39,Quotiescumque (Ambrosiano)
40,Sacris Solemniis
41,Sacris solemniis (Alter tonus)
42,Salutis humanæ Sator
43,Salve Lux mundi
44,Sancti venite
45,Totus formosus
46,Ubi caritas
47,Unus panis
48,Verbum supernum
49,Verbum supernum (Ambrosiano)
50,Verbum supernum (Ambrosiano)
51,Ave Maria
52,Ave Maris Stella
53,Ave Maris Stella (Alter tonus)
54,Ave Maria... Virgo serena
55,Concordi lætitia
56,Cum Jubilo
57,Dum vitam in Ara (Sete Dores – Ambrosiano)
58,Flos Carmeli
59,Memorare
60,Mysterium Ecclesiæ
61,O quam amabilis
62,Omni die dic Mariæ
63,O quot undis (Tempo da Paixão)
64,Salve Mater
65,Salve Virgo singularis
66,Sub tuum præsidium
67,Summæ Deus clementiæ (Tempo da Paixão)
68,Tota Pulchra
69,Tota Pulchra (Ambrosiano)
70,Verbum bonum (Tempo da Epifania)
71,Virgo Maria
72,Virgo prudentissima
73,Antiphonæ Majores
74,Conditor alme siderum (Ambrosiano)
75,Creator alme siderum
76,Em clara vox
77,"Kyrie, salve"
78,Rorate Cæli
79,Rorate Cæli (Ambrosiano)
80,"Veni, Redemptor gentium"
81,"Veni, veni Emmanuel"
82,Verbum supernum... a Patre
83,A solis ortus
84,Candor Æterne
85,Christe Redemptor omnium
86,Christus natus est
87,Ecce nomen Domini
88,Intende qui regis (Ambrosiano)
89,Jesu Redemptor omnium
90,Lætabundus
91,Puer natus
92,Resonet in laudibus
93,Crudelis Herodes
94,Crudelis Herodes (Alter tonus)
95,Epiphaniam Domino
96,Herodis insanus furor (Ambrosiano)
97,"Illuminans, Altissime (Ambrosiano)"
98,Magi videntes
99,O sola magnarum
100,Quicumque Christus
101,Attende Domine
102,Audi benigne Conditor
103,Audi benigne Conditor (Ambrosiano)
104,Christe qui lux
105,Ex more docti (Ambrosiano)
106,Exite Sion
107,Gloriam sacræ
108,"Jesu, quadragenariæ"
109,"Lux alma, Christe (Ambrosiano)"
110,Media vita
111,Miserere et parce
112,O Caput cruentatum
113,O sol salutis
114,Parce Domine
115,Precemur omnes
116,Quænam lingua tibi
117,Hymnum canamus (Para a Quinta-feira Santa – Ambrosiano)
118,Kyrie
119,O Crux benedicta (Ambrosiano)
120,O Crux splendidior
121,Salve Crux Sancta
122,Vexilla Regis
123,Vexilla Regis (Ambrosiano)
124,Ad regias Agni dapes
125,Ad regias Agni dapes (Alter tonus)
126,Chorus novus Jerusalem
127,Christus resurrexit
128,Ego sum Alpha
129,Exsultemus et lætemur
130,Hic est dies (Ambrosiano)
131,"Lætare, cælum"
132,Lux et origo
133,O filii et filiæ
134,O Rex æterne
135,Rex sempiterne cœlitum
136,Salve festa dies
137,Optatus votis omnium
138,Optatus orbis gaudio (Ambrosiano)
139,Beata nobis gaudia
140,Jam Christus astra
141,Jam Christus astra (Ambrosiano)
142,"Veni, Creator"
143,"Veni, Sancte Spiritus"
144,"Adesto, Sancta Trinitas"
145,Imensa et Una
146,"Kyrie, fons bonitatis"
147,Te Patrem summum
148,Auctor beate sæculi
149,Cor arca legem
150,"Cor Jesu, caritatis"
151,Em ut superba
152,"Jesu, autor clementiæ"
153,"Lux alma, Jesu"
154,Summi Parentis
155,Festivis resonent
156,Salvete Christi vulnera
157,"Plaude, Mater caritatis (Ambrosiano)"
158,Quicumque Christum quæritis
159,Æterna imago Altissimus
160,Christus vincit (Ambrosiano)
161,Te sæculorum Principem
162,Te sæculorum Principem (Ambrosiano)
163,Vexilla Christus
164,O gente felix (Ambrosiano)
165,O lux beata cælitum
166,Æterne rerum Conditor
167,Æterne rerum Conditor (Ambrosiano)
168,"Deus, Creator omnium"
169,"Deus, Creator omnium (Ambrosiano)"
170,"Kyrie, Rex Æterno"
171,Lucis creator optime
172,Lucis creator optime (Alter tonus)
173,Orbis factor
174,Quando Deus (Ao fim do ano litúrgico)
175,"Rerum, Deus, fons"
176,Splendor paternæ gloriæ
177,Dignum canentes Angeli (Ambrosiano)
178,Iste Confessor
179,Laudemus Deum nostrum
180,Te Joseph celebrent
181,Ut queant laxis
182,Nostræ salutis Nunctio
183,Placare Christus servulis
184,Deo fruentes fulgidæ (Ambrosiano)
185,Credo quod Redemptor
186,In paradisum
187,"Spes, Christe"
